timestamp,open,high,low,close,volume
2020-06-05,937.5000,964.9000,937.5000,955.3000,247885
2020-06-04,962.0000,968.0000,929.0500,931.0000,210524
2020-06-03,955.0000,972.5000,955.0000,961.2000,200681
2020-06-02,930.0000,952.5000,913.3500,945.4000,283269
2020-06-01,940.0000,973.8500,924.0500,928.1500,370011
2020-05-29,897.5000,937.0000,893.0000,932.3000,318152
2020-05-28,858.0000,911.1500,855.1000,903.0500,433128
2020-05-27,833.9000,856.8000,827.0000,850.5500,792212
2020-05-26,820.0000,843.0000,820.0000,825.8000,176143
2020-05-22,817.0000,826.2000,810.1000,815.9500,156326
2020-05-21,837.0000,845.0000,818.2500,820.4000,184928
2020-05-20,798.0000,840.0000,798.0000,835.0500,236526
2020-05-19,828.0000,833.6000,791.5500,796.4500,229961
2020-05-18,871.9000,871.9000,810.3500,813.4500,293256
2020-05-15,881.6000,885.0000,854.3500,864.2000,209336
2020-05-14,861.2000,879.7000,842.0000,871.8000,295197
2020-05-13,862.8000,871.8000,851.0000,863.5000,310436
2020-05-12,818.8000,820.0000,804.2500,814.8000,148350
2020-05-11,822.0000,827.0000,816.6000,821.5000,101041
2020-05-08,832.0000,834.9500,810.0000,816.0500,220532
2020-05-07,835.0000,836.0000,820.2500,822.7000,148559
2020-05-06,839.0000,848.0000,818.1000,837.6500,188244
2020-05-05,861.0000,870.0000,835.1000,837.1500,231879
2020-05-04,884.0000,884.0000,845.1000,850.7500,240522
2020-04-30,887.0500,916.2000,884.2500,897.3500,236358
2020-04-29,865.7000,882.5000,854.4500,876.6500,192577
2020-04-28,865.0000,867.5000,852.7500,857.0000,136026
2020-04-27,861.0000,874.7000,852.7000,855.5500,160846
2020-04-24,842.0000,868.9000,835.3000,850.6000,304900
2020-04-23,862.0000,869.3000,835.4000,840.6500,259373
2020-04-22,871.0000,885.1000,850.1500,852.6500,252548
2020-04-21,903.9000,906.3000,863.5000,870.6500,260313
2020-04-20,945.0000,945.0000,910.6000,916.0500,183491
2020-04-17,926.4500,940.0000,916.2000,933.1500,223421
2020-04-16,878.7500,919.5500,871.7000,912.0000,204695
2020-04-15,880.3000,926.7000,867.8500,879.9000,474002
2020-04-13,815.0000,872.0000,809.0000,865.7000,408710
2020-04-09,831.0000,834.9000,805.4500,812.3500,245404
2020-04-08,805.0000,832.0000,798.2500,807.6500,258009
2020-04-07,814.9500,814.9500,791.0000,801.6500,203786
2020-04-03,786.3000,790.0000,763.0000,774.8500,227919
2020-04-01,809.2000,811.7500,767.0000,774.7500,180813
2020-03-31,819.0000,821.5500,791.1000,806.8500,341395
2020-03-30,819.0000,819.0000,791.2500,799.7000,166226
2020-03-27,863.0000,890.0000,812.3000,836.9000,421118
2020-03-26,782.2000,843.2000,754.5000,839.9000,7658205
2020-03-25,707.9000,773.0000,661.0500,766.5500,491494
2020-03-24,723.0000,754.8500,671.6000,708.3000,460306
2020-03-23,835.0000,835.0000,706.0500,723.7000,477384
2020-03-20,852.0000,878.3000,832.0000,864.7500,465171
2020-03-19,876.7000,884.6000,837.5000,843.2500,426665
2020-03-18,969.0000,975.0000,900.0000,904.0500,299166
2020-03-17,967.2500,1005.0000,940.2500,955.2000,362014
2020-03-16,1017.0000,1042.0000,962.8500,968.7000,372209
2020-03-13,964.4000,1060.4500,890.1000,1052.8500,504152
2020-03-12,1077.0000,1077.0000,1005.0000,1013.1500,644549
2020-03-11,1099.0000,1120.4500,1086.6500,1116.8500,153530
2020-03-09,1104.7082,1109.1941,1098.4554,1099.0000,409806
2020-03-06,1155.0000,1164.0000,1131.0000,1158.9500,186542
2020-03-05,1181.1000,1187.9500,1166.8500,1182.7500,72275
2020-03-04,1189.9000,1189.9000,1158.1500,1177.7000,335587
2020-03-03,1190.0000,1190.0000,1162.5500,1181.8000,158713
2020-03-02,1201.1500,1211.5000,1150.5500,1167.0000,310729
2020-02-28,1192.3000,1195.9500,1162.3500,1183.0000,281119
2020-02-27,1216.9500,1216.9500,1200.0000,1209.8500,135928
2020-02-26,1237.0000,1239.0000,1207.1500,1211.4500,293355
2020-02-25,1263.8000,1264.9000,1241.0000,1242.4000,253328
2020-02-24,1275.6500,1275.6500,1253.0000,1259.5500,270945
2020-02-20,1282.0000,1288.8000,1275.6000,1280.8500,186884
2020-02-19,1290.1000,1298.6000,1276.6500,1281.4000,80016
2020-02-18,1281.0000,1289.6500,1266.6500,1286.2500,117988
2020-02-17,1296.0000,1296.9500,1277.7000,1280.5000,90419
2020-02-14,1296.0000,1305.0000,1291.0000,1294.9000,85236
2020-02-13,1296.8500,1299.5000,1285.3000,1292.1500,58535
2020-02-12,1289.9000,1299.7500,1280.5000,1296.8500,150115
2020-02-11,1289.0000,1299.0000,1283.7500,1286.9500,71355
2020-02-10,1300.0000,1301.3000,1273.4500,1285.3500,142669
2020-02-07,1315.7500,1315.8000,1296.0000,1298.8500,80155
2020-02-06,1320.0000,1325.0000,1309.5000,1317.3500,70314
2020-02-05,1299.8500,1325.0000,1296.0000,1311.8500,128077
2020-02-04,1296.4000,1307.0000,1287.6500,1291.6000,289473
2020-02-03,1299.5500,1303.9500,1272.5000,1286.7000,242429
2020-01-31,1375.1000,1376.2500,1360.0000,1369.1000,155881
2020-01-30,1365.5500,1376.3500,1353.1000,1371.2500,79122
2020-01-29,1353.0000,1374.9000,1352.0000,1365.4500,152061
2020-01-28,1350.1000,1355.4000,1338.3500,1347.0000,64192
2020-01-27,1350.0000,1364.8500,1343.0000,1348.5000,77294
2020-01-24,1333.0000,1368.0000,1331.5500,1359.8000,182938
2020-01-23,1302.0000,1339.5000,1302.0000,1332.8000,740544
2020-01-22,1310.0000,1310.6500,1292.4000,1294.2500,99515
2020-01-21,1307.4500,1313.6000,1301.0000,1302.6000,63783
2020-01-20,1311.0500,1319.4500,1306.0000,1309.6000,71945
2020-01-17,1325.0000,1325.7500,1302.0000,1304.5500,143771
2020-01-16,1325.0500,1332.4000,1317.1500,1319.0500,54181
2020-01-15,1326.7000,1336.0000,1319.8000,1323.6500,59534
2020-01-14,1332.5000,1332.5000,1315.8000,1326.0000,59495
2020-01-13,1332.0000,1339.9000,1329.6500,1334.3500,43955
2020-01-10,1317.0000,1335.2000,1317.0000,1324.0500,76336
2020-01-09,1311.8000,1319.9000,1307.0000,1315.9000,144348
2020-01-08,1308.0000,1308.0000,1283.6000,1291.3500,160970
