timestamp,open,high,low,close,volume
2020-06-05 05:55:00,956.4500,958.0000,956.4500,957.2000,4233
2020-06-05 05:50:00,955.4000,957.6500,955.0000,957.0000,6185
2020-06-05 05:45:00,954.0000,955.6000,953.7000,955.2000,4034
2020-06-05 05:40:00,952.4500,956.7500,951.9000,954.1500,5929
2020-06-05 05:35:00,951.9000,952.5000,951.2000,952.1000,1057
2020-06-05 05:30:00,951.8500,953.2500,951.6000,952.5500,2178
2020-06-05 05:25:00,951.8000,952.4000,950.7000,952.4000,1188
2020-06-05 05:20:00,951.9500,952.6500,951.5000,952.2000,750
2020-06-05 05:15:00,952.1500,952.5500,951.2000,952.3000,1244
2020-06-05 05:10:00,952.3000,952.6000,950.3000,951.8000,1540
2020-06-05 05:05:00,951.3500,952.6000,950.6000,952.6000,718
2020-06-05 05:00:00,952.0300,952.9100,950.4600,951.4800,10055
2020-06-05 04:55:00,950.7000,953.0000,950.7000,952.3500,816
2020-06-05 04:50:00,953.1500,953.4000,950.0000,950.3000,1496
2020-06-05 04:45:00,954.0500,954.9500,950.7500,953.3500,1309
2020-06-05 04:40:00,954.5000,955.0000,953.8500,954.4000,1773
2020-06-05 04:35:00,950.8000,954.4000,950.1500,953.8000,1561
2020-06-05 04:30:00,953.9500,955.4000,949.9500,949.9500,4012
2020-06-05 04:25:00,953.3000,954.2500,952.5500,953.4500,2995
2020-06-05 04:20:00,949.2500,954.6000,949.2500,953.3000,5098
2020-06-05 04:15:00,948.2500,949.5000,947.5000,949.5000,4840
2020-06-05 04:10:00,947.0500,949.2500,946.8000,948.0500,1537
2020-06-05 04:05:00,947.1500,949.2500,946.9500,947.0000,2659
2020-06-05 04:00:00,947.2000,948.1000,946.6000,947.0000,1996
2020-06-05 03:55:00,946.0000,947.4500,945.3500,947.0000,2809
2020-06-05 03:50:00,945.7000,946.5500,944.0000,946.1500,2256
2020-06-05 03:45:00,945.2000,948.5000,945.2000,946.2500,1800
2020-06-05 03:40:00,944.2500,946.0000,944.2500,945.4000,1424
2020-06-05 03:35:00,943.0000,945.5000,943.0000,944.5500,1538
2020-06-05 03:30:00,943.2500,944.6500,942.8000,942.9000,675
2020-06-05 03:25:00,942.2000,943.1500,942.0000,943.1500,1222
2020-06-05 03:20:00,943.7500,945.2500,942.6000,942.9000,129636
2020-06-05 03:15:00,943.6000,943.9000,943.0000,943.7000,0
2020-06-05 03:10:00,942.5500,944.2500,942.0500,943.6000,1037
2020-06-05 03:05:00,943.3500,944.4000,942.0000,942.0000,1110
2020-06-05 03:00:00,945.7800,946.3000,942.6500,943.4300,2519
2020-06-05 02:55:00,945.7000,946.4000,944.5500,945.2500,1495
2020-06-05 02:50:00,946.5000,947.6000,945.9000,945.9000,1632
2020-06-05 02:45:00,946.0000,947.0000,944.8000,946.3000,1677
2020-06-05 02:40:00,947.8500,947.8500,945.0000,946.0000,1010
2020-06-05 02:35:00,947.3500,949.6000,947.1500,948.0000,852
2020-06-05 02:30:00,946.3000,947.3000,943.9000,947.3000,3947
2020-06-05 02:25:00,948.0500,948.7500,945.1000,946.0000,1989
2020-06-05 02:20:00,949.4000,949.8000,947.6000,948.1500,1095
2020-06-05 02:15:00,948.1000,950.1500,948.1000,949.8000,721
2020-06-05 02:10:00,948.0000,948.2000,947.2500,948.2000,1383
2020-06-05 02:05:00,950.2000,950.2000,947.6000,948.0500,1360
2020-06-05 02:00:00,950.2500,950.6000,949.1000,949.6000,642
2020-06-05 01:55:00,950.6000,951.3500,949.7500,950.3000,647
2020-06-05 01:50:00,951.8500,951.8500,949.7500,950.7000,989
2020-06-05 01:45:00,953.0000,953.9500,952.4500,952.4500,1217
2020-06-05 01:40:00,951.4500,951.6000,950.0500,951.6000,517
2020-06-05 01:35:00,953.0000,953.0000,950.8500,950.8500,482
2020-06-05 01:30:00,953.2000,954.6000,953.0000,953.0000,1654
2020-06-05 01:25:00,951.0000,954.0000,950.3000,953.8000,1065
2020-06-05 01:20:00,951.3500,951.4500,948.6500,950.9000,1055
2020-06-05 01:15:00,954.3000,954.3000,950.4500,951.3500,879
2020-06-05 01:10:00,953.0000,954.6500,952.0500,953.7000,1548
2020-06-05 01:05:00,949.0500,954.2500,949.0500,953.0000,3598
2020-06-05 01:00:00,950.4100,950.9700,948.2100,948.6100,2279
2020-06-05 00:55:00,954.2000,955.2000,949.8000,950.7000,3744
2020-06-05 00:50:00,954.6000,955.8000,953.8000,955.1500,1164
2020-06-05 00:45:00,957.4500,957.4500,953.6500,954.7500,3285
2020-06-05 00:40:00,957.7500,958.9000,956.0000,957.7500,13339
2020-06-05 00:35:00,957.0000,957.3000,955.4000,957.1000,2940
2020-06-05 00:30:00,958.4000,959.9000,956.2500,957.0000,5454
2020-06-05 00:25:00,955.5000,959.0000,955.5000,957.8000,5265
2020-06-05 00:20:00,953.5000,955.2500,953.0000,954.4000,4647
2020-06-05 00:15:00,955.0000,957.0000,953.5000,953.5000,6083
2020-06-05 00:10:00,953.2500,956.0000,952.2000,955.3000,3332
2020-06-05 00:05:00,952.8000,957.1500,952.8000,953.9000,14008
2020-06-05 00:00:00,948.4300,954.3000,946.9000,952.9300,8855
2020-06-04 23:55:00,942.8500,949.6000,942.8500,948.7000,5598
2020-06-04 23:50:00,938.9500,945.5000,938.6000,943.4500,4292
2020-06-04 23:45:00,940.0000,945.0000,937.5000,939.0000,6832
2020-06-04 05:55:00,932.3000,932.8500,930.4000,931.7500,3279
2020-06-04 05:50:00,930.0500,933.0000,930.0000,931.6000,5794
2020-06-04 05:45:00,931.2000,931.2000,929.2500,930.4500,4392
2020-06-04 05:40:00,932.0000,932.0000,929.1000,930.6000,6327
2020-06-04 05:35:00,931.0000,932.0000,930.2000,931.9000,2425
2020-06-04 05:30:00,931.1000,933.0500,930.4500,930.5000,3040
2020-06-04 05:25:00,931.7000,932.9500,930.5000,930.6500,1733
2020-06-04 05:20:00,933.1000,933.1000,930.6000,932.1500,3889
2020-06-04 05:15:00,933.8000,934.4000,933.0000,933.1000,1150
2020-06-04 05:10:00,936.4500,936.4500,934.2500,934.2500,1907
2020-06-04 05:05:00,935.2500,937.1500,935.0000,936.9500,1586
2020-06-04 05:00:00,934.3500,937.5000,934.2000,935.2500,1093
2020-06-04 04:55:00,932.2500,934.9000,932.0500,933.7000,1077
2020-06-04 04:50:00,932.3000,935.4500,931.0000,932.9500,2595
2020-06-04 04:45:00,932.7500,933.8500,931.0000,932.6500,2604
2020-06-04 04:40:00,932.3500,933.2500,932.0000,932.6000,884
2020-06-04 04:35:00,935.5000,935.5000,931.7000,931.8000,3853
2020-06-04 04:30:00,933.0000,935.9500,930.2000,935.5000,4016
2020-06-04 04:25:00,931.5000,933.5000,931.2500,932.8000,3977
2020-06-04 04:20:00,936.4500,936.4500,931.4000,931.5000,6477
2020-06-04 04:15:00,936.7500,937.8000,934.5500,936.4500,1592
2020-06-04 04:10:00,934.3000,938.2500,934.0000,936.4500,1790
2020-06-04 04:05:00,932.4000,934.6000,932.2500,934.6000,720
2020-06-04 04:00:00,933.9000,935.4500,932.4500,932.4500,3106
2020-06-04 03:55:00,931.4000,934.3500,931.0500,933.9000,1104
