time,ADX
2019-04-15,22.1547
2019-04-12,23.6196
2019-04-11,25.3594
2019-04-10,26.4533
2019-04-09,27.1113
2019-04-08,26.2058
2019-04-05,25.1997
2019-04-04,23.2179
2019-04-03,21.1428
2019-04-02,19.9239
2019-04-01,20.3256
2019-03-28,22.0116
2019-03-27,22.7023
2019-03-26,23.4698
2019-03-25,25.9919
2019-03-22,28.4456
2019-03-20,28.1315
2019-03-19,28.5063
2019-03-18,30.2818
2019-03-15,32.2546
2019-03-14,34.5697
2019-03-13,33.7609
2019-03-12,33.4171
2019-03-11,34.5759
2019-03-08,38.2849
2019-03-07,40.8926
2019-03-06,43.7900
2019-03-05,46.1934
2019-03-01,46.1734
2019-02-28,45.6589
2019-02-27,43.6260
2019-02-26,41.3673
2019-02-25,39.8111
2019-02-22,39.0083
2019-02-21,38.4543
2019-02-20,37.3658
2019-02-19,34.6584
2019-02-18,31.6501
2019-02-15,28.8316
2019-02-14,25.6999
2019-02-12,23.4628
2019-02-11,21.2798
2019-02-08,20.5660
2019-02-07,19.7729
2019-02-06,20.1018
2019-02-05,21.8130
2019-02-04,22.9299
2019-02-01,24.0862
2019-01-31,24.6229
2019-01-30,22.3167
2019-01-29,18.5822
2019-01-28,15.3178
2019-01-25,14.0396
2019-01-24,14.4384
2019-01-23,13.7041
2019-01-22,13.6008
2019-01-21,14.9418
2019-01-18,14.9316
2019-01-17,14.0435
2019-01-16,13.6851
2019-01-15,14.5117
2019-01-14,15.4574
2019-01-11,16.7726
2019-01-10,15.8204
2019-01-09,15.3092
2019-01-08,14.8186
2019-01-07,14.2736
2019-01-04,14.9971
2019-01-03,16.5790
2019-01-02,18.3367
2019-01-01,17.9236
2018-12-31,17.4646
2018-12-28,17.9337
2018-12-27,19.0721
2018-12-26,19.7106
2018-12-24,19.4634
2018-12-21,19.7807
2018-12-20,21.6929
2018-12-19,22.8154
2018-12-18,23.6007
2018-12-17,25.8860
2018-12-14,28.4252
2018-12-13,31.3648
2018-12-12,33.4184
2018-12-11,36.5476
2018-12-10,39.1169
2018-12-07,41.8863
2018-12-06,42.5564
2018-12-05,42.5212
2018-12-04,42.4822
2018-12-03,42.4388
2018-11-30,39.0837
2018-11-29,35.7533
2018-11-28,32.7646
2018-11-27,30.5842
2018-11-26,29.0834
2018-11-22,27.8158
2018-11-21,27.0227
2018-11-20,26.1414
2018-11-19,24.4561
2018-11-16,22.5034
2018-11-15,20.8606
2018-11-14,20.6505
2018-11-13,20.8231
2018-11-12,22.0902
2018-11-09,23.0877
2018-11-07,24.4198
2018-11-06,23.8523
2018-11-05,23.4441
2018-11-02,22.9906
2018-11-01,22.4867
2018-10-31,23.2857
2018-10-30,25.0209
2018-10-29,25.2150
2018-10-26,25.4306
2018-10-25,26.5817
2018-10-24,28.1993
2018-10-23,30.5518
2018-10-22,31.0389
2018-10-19,30.5558
2018-10-17,30.0901
2018-10-16,32.1675
2018-10-15,34.3608
2018-10-12,36.3142
2018-10-11,37.3211
2018-10-10,37.4087
2018-10-09,38.6224
2018-10-08,38.1743
2018-10-05,36.0241
2018-10-04,34.3742
2018-10-03,34.0248
2018-10-01,35.1748
2018-09-28,36.3756
2018-09-27,34.3859
2018-09-26,32.1750
2018-09-25,30.4557
2018-09-24,26.8456
2018-09-21,22.8344
2018-09-19,20.1611
2018-09-18,18.7999
2018-09-17,18.2807
2018-09-14,19.4158
2018-09-12,21.2792
2018-09-11,19.0913
2018-09-10,16.8541
2018-09-07,15.3815
2018-09-06,16.6506
2018-09-05,17.8607
2018-09-04,19.2051
2018-09-03,18.9421
2018-08-31,18.6499
2018-08-30,19.6943
2018-08-29,19.1392
2018-08-28,18.5225
2018-08-27,18.6587
2018-08-24,20.4646
2018-08-23,22.1791
2018-08-21,24.0840
2018-08-20,24.4722
2018-08-17,24.3002
2018-08-16,22.0502
2018-08-14,19.8236
2018-08-13,20.1271
2018-08-10,19.9379
2018-08-09,20.5764
2018-08-08,22.0654
2018-08-07,23.6008
2018-08-06,26.2213
2018-08-03,29.0304
2018-08-02,31.3852
2018-08-01,32.9195
2018-07-31,36.4927
2018-07-30,39.6963
2018-07-27,39.5343
2018-07-26,38.0324
2018-07-25,36.8623
2018-07-24,36.6418
2018-07-23,37.9998
2018-07-20,39.5087
2018-07-19,41.5910
2018-07-18,41.8915
2018-07-17,39.2262
2018-07-16,37.3038
2018-07-13,34.4892
2018-07-12,32.1977
2018-07-11,29.6560
2018-07-10,27.6941
2018-07-09,26.3957
2018-07-06,25.9366
2018-07-05,24.9269
2018-07-04,23.4351
2018-07-03,22.3258
2018-07-02,22.4808
2018-06-29,22.3963
2018-06-28,23.2161
2018-06-27,24.1271
2018-06-26,21.9456
2018-06-25,20.1757
2018-06-22,17.1051
2018-06-21,14.1047
2018-06-20,12.7181
2018-06-19,12.9661
2018-06-18,14.3352
2018-06-15,15.5979
2018-06-14,16.2204
2018-06-13,16.7259
2018-06-12,17.3614
2018-06-11,18.9053
2018-06-08,20.1506
2018-06-07,21.5342
2018-06-06,22.7462
2018-06-05,25.0565
2018-06-04,27.1997
2018-06-01,29.9409
2018-05-31,31.8080
2018-05-30,31.9916
2018-05-29,31.1753
2018-05-28,31.4012
2018-05-25,32.5974
2018-05-24,33.0760
2018-05-23,32.1635
2018-05-22,30.6188
2018-05-21,29.6498
2018-05-18,29.3058
2018-05-17,31.0624
2018-05-16,34.1834
2018-05-15,34.3094
2018-05-14,32.7961
2018-05-11,31.4049
2018-05-10,30.3431
2018-05-09,30.3209
2018-05-08,30.4631
2018-05-07,28.9890
2018-05-04,26.7033
2018-05-03,23.9466
2018-05-02,20.4033
2018-04-30,17.7919
2018-04-27,15.9924
2018-04-26,16.1577
2018-04-25,15.9615
2018-04-24,15.9086
2018-04-23,15.8499
2018-04-20,17.3389
2018-04-19,18.7139
2018-04-18,18.2648
2018-04-17,15.8830
2018-04-16,13.3762
2018-04-13,11.7053
2018-04-12,11.9151
2018-04-11,13.1280
2018-04-10,14.3266
2018-04-09,15.1313
2018-04-06,15.0924
2018-04-05,15.5603
2018-04-04,16.6177
2018-04-03,17.7925
2018-04-02,17.4635
2018-03-28,16.1633
2018-03-27,15.7042
2018-03-26,15.0475
2018-03-23,14.3178
2018-03-22,14.4518
2018-03-21,15.8448
2018-03-20,17.3099
2018-03-19,17.2021
2018-03-16,16.9747
2018-03-15,17.4636
2018-03-14,18.0433
2018-03-13,17.8512
2018-03-12,16.4268
2018-03-09,15.7299
2018-03-08,16.4921
2018-03-07,16.9187
2018-03-06,15.4488
2018-03-05,13.8156
2018-03-01,13.6479
2018-02-28,15.0811
2018-02-27,16.6735
2018-02-26,17.1035
2018-02-23,17.3722
2018-02-22,19.2795
2018-02-21,20.8829
2018-02-20,22.4489
2018-02-19,24.1890
2018-02-16,26.7172
2018-02-15,29.6028
2018-02-14,32.3980
2018-02-12,35.6442
2018-02-09,38.3420
2018-02-08,39.8111
2018-02-07,42.3531
2018-02-06,44.4198
2018-02-05,46.1246
2018-02-02,49.8722
2018-02-01,52.2829
2018-01-31,51.4030
2018-01-30,50.7352
2018-01-29,49.1705
2018-01-25,47.4318
2018-01-24,47.0616
2018-01-23,45.5257
2018-01-22,44.4702
2018-01-19,43.2975
2018-01-18,39.0403
2018-01-17,34.3102
2018-01-16,29.7392
2018-01-15,24.6603
2018-01-12,19.0171
2018-01-11,16.8123
2018-01-10,16.1059
2018-01-09,16.2096
2018-01-08,15.6566
2018-01-05,15.4457
2018-01-04,16.7776
2018-01-03,16.9518
2018-01-02,16.2172
2018-01-01,14.5741
2017-12-29,12.7484
2017-12-28,12.3682
2017-12-27,11.9457
2017-12-26,12.7774
2017-12-22,13.7015
2017-12-21,14.3671
2017-12-20,14.3199
2017-12-19,14.2675
2017-12-18,15.3872
2017-12-15,16.6314
2017-12-14,16.2915
2017-12-13,17.7437
2017-12-12,18.8812
2017-12-11,19.5795
2017-12-08,20.3553
2017-12-07,21.6971
2017-12-06,20.0517
2017-12-05,18.2234
2017-12-04,17.8866
2017-12-01,16.9223
2017-11-30,15.9130
2017-11-29,16.2616
2017-11-28,16.9598
2017-11-27,16.5398
2017-11-24,18.0175
2017-11-23,19.6595
2017-11-22,21.1839
2017-11-21,22.8776
2017-11-20,24.7596
2017-11-17,26.7525
2017-11-16,29.1866
2017-11-15,27.5460
2017-11-14,25.7231
2017-11-13,24.1193
2017-11-10,22.6950
2017-11-09,22.6383
2017-11-08,23.1684
2017-11-07,25.0827
2017-11-06,25.3101
2017-11-03,26.2420
2017-11-02,27.6572
2017-11-01,30.6206
2017-10-31,33.0636
2017-10-30,32.0195
2017-10-27,30.1887
2017-10-26,27.2125
2017-10-25,22.4489
2017-10-24,17.4623
2017-10-23,15.1096
2017-10-19,12.4954
2017-10-18,12.6728
2017-10-17,13.9479
2017-10-16,14.7998
2017-10-13,15.7462
2017-10-12,15.8901
2017-10-11,17.0589
2017-10-10,18.7159
2017-10-09,18.8672
2017-10-06,19.0353
2017-10-05,19.3359
2017-10-04,21.4818
2017-10-03,23.8661
2017-09-29,25.2900
2017-09-28,25.3715
2017-09-27,24.2181
2017-09-26,23.0026
2017-09-25,22.6618
2017-09-22,23.2061
2017-09-21,23.8498
2017-09-20,24.5650
2017-09-19,25.8044
2017-09-18,27.4568
2017-09-15,29.6555
2017-09-14,32.0986
2017-09-13,34.0374
2017-09-12,34.4695
2017-09-11,34.9497
2017-09-08,34.2034
2017-09-07,33.8232
2017-09-06,33.4651
2017-09-05,33.8951
2017-09-04,34.7322
2017-09-01,36.6190
2017-08-31,37.4393
2017-08-30,38.3508
2017-08-29,40.0343
2017-08-28,42.2598
2017-08-24,40.5374
2017-08-23,39.1578
2017-08-22,37.8002
2017-08-21,36.8898
2017-08-18,36.4069
2017-08-17,35.8703
2017-08-16,35.2740
2017-08-14,34.8969
2017-08-11,35.0621
2017-08-10,37.3844
2017-08-09,37.9547
2017-08-08,39.0402
2017-08-07,40.6843
2017-08-04,40.7241
2017-08-03,41.4172
2017-08-02,41.5482
2017-08-01,37.8214
2017-07-31,33.6806
2017-07-28,29.0797
2017-07-27,23.9827
2017-07-26,19.3558
2017-07-25,19.7980
2017-07-24,21.4233
2017-07-21,23.0685
2017-07-20,24.8965
2017-07-19,23.5641
2017-07-18,22.0836
2017-07-17,19.4436
2017-07-14,18.0091
2017-07-13,17.2495
2017-07-12,16.4055
