time,ADX
2019-04-25,13.7122
2019-04-24,13.8988
2019-04-23,13.9368
2019-04-22,13.5666
2019-04-18,13.4657
2019-04-16,14.1327
2019-04-15,14.4453
2019-04-12,14.8320
2019-04-11,15.2632
2019-04-10,15.5384
2019-04-09,15.7099
2019-04-08,15.5530
2019-04-05,15.3878
2019-04-04,15.0320
2019-04-03,14.7011
2019-04-02,14.7155
2019-04-01,15.2524
2019-03-28,15.9620
2019-03-27,16.1512
2019-03-26,16.3504
2019-03-25,16.9587
2019-03-22,17.7169
2019-03-20,18.1502
2019-03-19,18.8197
2019-03-18,19.7229
2019-03-15,20.6737
2019-03-14,21.6399
2019-03-13,22.2285
2019-03-12,23.0443
2019-03-11,24.1131
2019-03-08,24.5247
2019-03-07,24.6182
2019-03-06,24.7165
2019-03-05,24.6364
2019-03-01,23.9931
2019-02-28,23.2199
2019-02-27,22.1232
2019-02-26,20.9687
2019-02-25,20.0633
2019-02-22,19.3682
2019-02-21,18.7240
2019-02-20,17.9536
2019-02-19,16.8527
2019-02-18,15.6938
2019-02-15,14.6631
2019-02-14,13.5781
2019-02-12,12.8561
2019-02-11,12.1900
2019-02-08,11.9723
2019-02-07,11.7431
2019-02-06,11.8152
2019-02-05,12.2102
2019-02-04,12.4504
2019-02-01,12.6841
2019-01-31,12.7558
2019-01-30,12.2012
2019-01-29,11.3817
2019-01-28,10.8536
2019-01-25,11.0193
2019-01-24,11.5660
2019-01-23,12.0053
2019-01-22,12.6363
2019-01-21,12.9153
2019-01-18,12.9235
2019-01-17,12.7753
2019-01-16,12.7460
2019-01-15,12.9471
2019-01-14,13.1639
2019-01-11,13.4428
2019-01-10,13.2661
2019-01-09,13.1960
2019-01-08,13.1389
2019-01-07,13.0788
2019-01-04,13.3084
2019-01-03,13.7112
2019-01-02,14.1353
2019-01-01,14.0592
2018-12-31,13.9791
2018-12-28,14.1302
2018-12-27,14.4327
2018-12-26,15.1345
2018-12-24,15.6866
2018-12-21,16.4290
2018-12-20,16.8463
2018-12-19,17.0599
2018-12-18,17.1820
2018-12-17,17.6192
2018-12-14,18.0794
2018-12-13,18.6863
2018-12-12,18.9110
2018-12-11,19.3422
2018-12-10,20.2372
2018-12-07,20.4340
2018-12-06,20.1581
2018-12-05,19.7222
2018-12-04,19.2633
2018-12-03,18.7803
2018-11-30,17.6328
2018-11-29,16.6083
2018-11-28,15.8223
2018-11-27,15.3826
2018-11-26,15.1805
2018-11-22,15.0720
2018-11-21,15.1121
2018-11-20,15.1543
2018-11-19,15.0817
2018-11-16,14.9917
2018-11-15,15.0544
2018-11-14,15.5544
2018-11-13,16.1805
2018-11-12,16.9698
2018-11-09,17.8488
2018-11-07,18.7471
2018-11-06,19.3930
2018-11-05,20.1369
2018-11-02,20.9200
2018-11-01,21.7443
2018-10-31,22.7446
2018-10-30,23.5509
2018-10-29,23.5232
2018-10-26,23.4941
2018-10-25,23.6728
2018-10-24,23.9376
2018-10-23,24.3435
2018-10-22,24.2118
2018-10-19,23.8186
2018-10-17,23.4243
2018-10-16,23.6599
2018-10-15,23.8772
2018-10-12,23.9723
2018-10-11,23.7510
2018-10-10,23.2367
2018-10-09,23.0100
2018-10-08,22.2818
2018-10-05,21.0814
2018-10-04,20.0781
2018-10-03,19.4916
2018-10-01,19.2988
2018-09-28,19.0756
2018-09-27,18.0033
2018-09-26,16.8746
2018-09-25,15.9470
2018-09-24,14.5520
2018-09-21,13.0835
2018-09-19,12.2588
2018-09-18,11.9227
2018-09-17,11.8626
2018-09-14,12.2614
2018-09-12,12.8341
2018-09-11,12.5114
2018-09-10,12.2326
2018-09-07,12.2475
2018-09-06,12.7885
2018-09-05,13.1285
2018-09-04,13.4865
2018-09-03,13.4984
2018-08-31,13.5110
2018-08-30,13.8467
2018-08-29,13.8481
2018-08-28,13.8496
2018-08-27,14.0598
2018-08-24,14.6687
2018-08-23,15.3917
2018-08-21,16.1528
2018-08-20,16.5775
2018-08-17,16.8979
2018-08-16,16.8186
2018-08-14,16.8310
2018-08-13,17.6819
2018-08-10,18.4797
2018-08-09,19.3551
2018-08-08,20.0728
2018-08-07,20.8526
2018-08-06,21.4279
2018-08-03,22.0048
2018-08-02,22.8320
2018-08-01,23.9408
2018-07-31,24.5418
2018-07-30,24.9098
2018-07-27,24.3572
2018-07-26,23.4779
2018-07-25,22.7007
2018-07-24,22.1800
2018-07-23,22.0158
2018-07-20,21.8430
2018-07-19,21.7559
2018-07-18,21.1844
2018-07-17,19.9385
2018-07-16,18.9779
2018-07-13,17.8373
2018-07-12,16.9109
2018-07-11,15.9370
2018-07-10,15.1736
2018-07-09,14.6103
2018-07-06,14.2604
2018-07-05,13.7948
2018-07-04,13.2313
2018-07-03,12.7865
2018-07-02,12.6660
2018-06-29,12.4847
2018-06-28,12.5166
2018-06-27,12.5501
2018-06-26,11.8957
2018-06-25,11.4009
2018-06-22,10.6600
2018-06-21,10.0158
2018-06-20,9.9068
2018-06-19,10.2214
2018-06-18,10.7035
2018-06-15,11.2408
2018-06-14,11.6476
2018-06-13,11.9425
2018-06-12,12.2690
2018-06-11,12.7961
2018-06-08,13.2518
2018-06-07,13.7315
2018-06-06,14.2143
2018-06-05,14.9464
2018-06-04,15.5566
2018-06-01,16.2833
2018-05-31,16.7793
2018-05-30,16.8974
2018-05-29,16.8147
2018-05-28,17.0702
2018-05-25,17.6026
2018-05-24,17.9901
2018-05-23,18.1116
2018-05-22,18.1354
2018-05-21,18.4331
2018-05-18,19.0003
2018-05-17,19.7465
2018-05-16,20.2169
2018-05-15,19.8078
2018-05-14,19.0646
2018-05-11,18.3566
2018-05-10,17.7332
2018-05-09,17.3458
2018-05-08,16.9748
2018-05-07,16.2640
2018-05-04,15.3921
2018-05-03,14.4318
2018-05-02,13.3238
2018-04-30,12.5716
2018-04-27,12.0736
2018-04-26,12.0305
2018-04-25,11.9119
2018-04-24,11.8224
2018-04-23,11.7280
2018-04-20,11.9647
2018-04-19,12.1500
2018-04-18,11.9133
2018-04-17,11.2919
2018-04-16,10.6762
2018-04-13,10.3228
2018-04-12,10.4188
2018-04-11,10.7149
2018-04-10,11.0993
2018-04-09,11.2777
2018-04-06,11.2718
2018-04-05,11.3791
2018-04-04,11.6108
2018-04-03,11.8547
2018-04-02,11.7379
2018-03-28,11.4108
