time,SlowD,SlowK
2019-08-07,57.8461,60.2390
2019-08-06,62.7830,58.9503
2019-08-05,70.0805,54.3491
2019-08-02,80.0414,75.0498
2019-08-01,82.9507,80.8425
2019-07-31,75.6820,84.2318
2019-07-30,58.8831,83.7779
2019-07-29,36.5135,59.0363
2019-07-26,23.9475,33.8351
2019-07-25,21.3081,16.6690
2019-07-24,29.2530,21.3383
2019-07-23,40.8100,25.9170
2019-07-22,53.5517,40.5035
2019-07-19,56.6863,56.0095
2019-07-18,47.9591,64.1422
2019-07-17,34.1854,49.9071
2019-07-16,23.8715,29.8279
2019-07-15,26.1022,22.8211
2019-07-12,28.8440,18.9655
2019-07-11,36.5226,36.5200
2019-07-10,40.7538,31.0466
2019-07-09,55.1247,42.0012
2019-07-08,70.3818,49.2137
2019-07-05,83.8982,74.1591
2019-07-04,89.9590,87.7724
2019-07-03,90.4039,89.7632
2019-07-02,90.6473,92.3412
2019-07-01,89.1589,89.1072
2019-06-28,86.3137,90.4933
2019-06-27,81.2777,87.8761
2019-06-26,78.1592,80.5718
2019-06-25,77.4298,75.3853
2019-06-24,74.9390,78.5204
2019-06-21,62.0383,78.3838
2019-06-20,47.0174,67.9129
2019-06-19,39.6960,39.8182
2019-06-18,47.6202,33.3210
2019-06-17,62.7727,45.9487
2019-06-14,72.5394,63.5909
2019-06-13,77.4454,78.7784
2019-06-12,71.3325,75.2488
2019-06-11,68.1585,78.3090
2019-06-10,65.2637,60.4395
2019-06-07,70.5614,65.7270
2019-06-06,74.3071,69.6246
2019-06-04,70.9921,76.3326
2019-06-03,62.9640,76.9643
2019-05-31,50.3421,59.6795
2019-05-30,47.3940,52.2481
2019-05-29,50.2413,39.0987
2019-05-28,61.8285,50.8352
2019-05-27,72.2497,60.7899
2019-05-24,82.8304,73.8605
2019-05-23,89.5902,82.0988
2019-05-22,93.7772,92.5319
2019-05-21,94.0280,94.1398
2019-05-20,85.2578,94.6600
2019-05-17,68.6172,93.2843
2019-05-16,44.4108,67.8292
2019-05-15,29.7934,44.7382
2019-05-14,21.3409,20.6650
2019-05-13,19.5287,23.9769
2019-05-10,13.9614,19.3808
2019-05-09,14.9994,15.2283
2019-05-08,26.2490,7.2750
2019-05-07,48.7630,22.4950
2019-05-06,69.2689,48.9769
2019-05-03,79.9369,74.8170
2019-05-02,83.0275,84.0129
2019-04-30,81.7225,80.9809
2019-04-26,75.1785,84.0888
2019-04-25,60.5759,80.0978
2019-04-24,45.8648,61.3488
2019-04-23,41.2438,40.2810
2019-04-22,42.3686,35.9646
2019-04-18,43.5675,47.4857
2019-04-16,36.6842,43.6554
2019-04-15,31.5902,39.5614
2019-04-12,25.1721,26.8357
2019-04-11,31.4217,28.3734
2019-04-10,42.1327,20.3071
2019-04-09,60.9713,45.5844
2019-04-08,71.2672,60.5064
2019-04-05,78.1422,76.8231
2019-04-04,81.7990,76.4722
2019-04-03,83.1150,81.1314
2019-04-02,82.6811,87.7936
2019-04-01,73.5689,80.4201
2019-03-28,61.3681,79.8296
