time,EMA
2019-06-10,2132.3965
2019-06-07,2125.6488
2019-06-06,2116.8750
2019-06-04,2109.3723
2019-06-03,2097.2168
2019-05-31,2083.5080
2019-05-30,2073.1194
2019-05-29,2061.2741
2019-05-28,2052.2714
2019-05-27,2041.5315
2019-05-24,2028.3664
2019-05-23,2017.9313
2019-05-22,2007.6503
2019-05-21,1993.6556
2019-05-20,1980.9773
2019-05-17,1966.6222
2019-05-16,1963.7667
2019-05-15,1966.3053
2019-05-14,1968.5848
2019-05-13,1969.0990
2019-05-10,1970.9304
2019-05-09,1975.1179
2019-05-08,1981.3776
2019-05-07,1986.5805
2019-05-06,1988.6732
2019-05-03,1990.9283
2019-05-02,1988.9208
2019-04-30,1985.9335
2019-04-26,1984.9370
2019-04-25,1986.0303
2019-04-24,1988.9230
2019-04-23,1989.9517
2019-04-22,1995.6414
2019-04-18,1999.9142
2019-04-16,1999.4946
2019-04-15,1996.5572
2019-04-12,1994.7632
2019-04-11,1991.4488
2019-04-10,1988.3224
2019-04-09,1984.2089
2019-04-08,1975.3888
2019-04-05,1967.1508
2019-04-04,1957.7509
2019-04-03,1948.9615
2019-04-02,1942.2470
2019-04-01,1936.9572
2019-03-28,1935.0316
2019-03-27,1933.7665
2019-03-26,1935.1683
2019-03-25,1934.0649
2019-03-22,1932.8349
2019-03-20,1927.4123
2019-03-19,1921.1241
2019-03-18,1916.2056
2019-03-15,1911.1746
2019-03-14,1904.2456
2019-03-13,1898.6030
2019-03-12,1893.0665
2019-03-11,1888.9735
2019-03-08,1888.0970
2019-03-07,1888.5388
2019-03-06,1889.4955
2019-03-05,1889.9477
2019-03-01,1893.0422
2019-02-28,1896.5782
2019-02-27,1902.3496
2019-02-26,1908.6654
2019-02-25,1914.4670
2019-02-22,1916.5319
2019-02-21,1919.8458
2019-02-20,1922.8190
2019-02-19,1928.2842
2019-02-18,1936.3931
2019-02-15,1942.9029
2019-02-14,1950.0295
2019-02-12,1955.1747
2019-02-11,1960.3931
2019-02-08,1961.6976
2019-02-07,1963.5658
2019-02-06,1962.8306
2019-02-05,1960.2338
2019-02-04,1958.3637
2019-02-01,1956.2967
2019-01-31,1955.8016
2019-01-30,1959.1807
2019-01-29,1966.9366
2019-01-28,1972.0036
2019-01-25,1974.4672
2019-01-24,1974.1374
2019-01-23,1974.6729
2019-01-22,1976.4648
2019-01-21,1975.8190
2019-01-18,1972.9262
2019-01-17,1969.2290
2019-01-16,1965.5426
2019-01-15,1964.6155
2019-01-14,1961.8592
2019-01-11,1961.0759
2019-01-10,1958.2787
2019-01-09,1956.0975
2019-01-08,1952.1814
2019-01-07,1951.4373
2019-01-04,1949.3781
2019-01-03,1947.0863
2019-01-02,1948.2744
2019-01-01,1945.0401
2018-12-31,1938.2443
2018-12-28,1934.9016
2018-12-27,1930.1439
2018-12-26,1928.4064
2018-12-24,1927.7702
2018-12-21,1930.4882
2018-12-20,1928.4922
2018-12-19,1923.4650
2018-12-18,1917.7035
2018-12-17,1913.9722
2018-12-14,1909.2167
2018-12-13,1909.7500
2018-12-12,1906.3606
2018-12-11,1902.9038
2018-12-10,1902.6358
2018-12-07,1901.9448
2018-12-06,1896.6495
2018-12-05,1891.6442
2018-12-04,1883.0594
2018-12-03,1877.1498
2018-11-30,1866.6130
2018-11-29,1854.2880
2018-11-28,1843.6289
2018-11-27,1834.9267
2018-11-26,1827.9031
2018-11-22,1822.3982
2018-11-21,1816.9138
2018-11-20,1811.5469
2018-11-19,1804.6518
2018-11-16,1794.7888
2018-11-15,1785.0245
2018-11-14,1777.9534
2018-11-13,1771.5853
2018-11-12,1766.0627
2018-11-09,1763.0114
2018-11-07,1757.3389
2018-11-06,1751.2377
2018-11-05,1745.8470
2018-11-02,1740.6046
2018-11-01,1732.0050
2018-10-31,1728.8792
2018-10-30,1724.5981
2018-10-29,1730.0505
2018-10-26,1733.4716
2018-10-25,1736.8476
2018-10-24,1741.4368
2018-10-23,1741.5460
2018-10-22,1746.9824
2018-10-19,1756.1174
2018-10-17,1766.0981
