time,SMA
2019-05-23,3181.4600
2019-05-22,3140.6500
2019-05-21,3088.0700
2019-05-20,3046.7300
2019-05-17,3009.7400
2019-05-16,2990.5450
2019-05-15,2992.2800
2019-05-14,3001.4500
2019-05-13,3022.1850
2019-05-10,3037.3850
2019-05-09,3054.4400
2019-05-08,3061.0050
2019-05-07,3067.9600
2019-05-06,3067.4150
2019-05-03,3066.8750
2019-05-02,3058.2050
2019-04-30,3046.0000
2019-04-26,3041.4550
2019-04-25,3032.5150
2019-04-24,3025.8800
2019-04-23,3019.5600
2019-04-22,3026.8650
2019-04-18,3031.8900
2019-04-16,3034.7200
2019-04-15,3036.5500
2019-04-12,3034.4500
2019-04-11,3032.7050
2019-04-10,3022.0900
2019-04-09,3014.9300
2019-04-08,2998.7950
2019-04-05,2979.6000
2019-04-04,2955.9700
2019-04-03,2943.9650
2019-04-02,2932.3600
2019-04-01,2913.3600
2019-03-28,2894.0800
2019-03-27,2877.7350
2019-03-26,2858.8450
2019-03-25,2844.8150
2019-03-22,2836.1950
2019-03-20,2826.0900
2019-03-19,2815.2850
2019-03-18,2792.5400
2019-03-15,2766.2750
2019-03-14,2745.0450
2019-03-13,2728.3100
2019-03-12,2710.9650
2019-03-11,2701.5700
2019-03-08,2686.6650
2019-03-07,2675.3050
2019-03-06,2661.8100
2019-03-05,2641.3200
2019-03-01,2626.4950
2019-02-28,2615.9050
2019-02-27,2611.8800
2019-02-26,2610.1000
2019-02-25,2610.0750
2019-02-22,2614.5300
2019-02-21,2620.1950
2019-02-20,2625.6550
2019-02-19,2625.7850
2019-02-18,2629.2600
2019-02-15,2637.4200
2019-02-14,2638.7050
2019-02-12,2637.6250
2019-02-11,2626.4550
2019-02-08,2606.8250
2019-02-07,2596.0250
2019-02-06,2589.4050
2019-02-05,2581.9450
2019-02-04,2583.3950
2019-02-01,2582.8800
2019-01-31,2574.2100
2019-01-30,2570.7350
2019-01-29,2568.3950
2019-01-28,2577.1300
2019-01-25,2585.5850
2019-01-24,2577.0500
2019-01-23,2565.4850
2019-01-22,2554.6900
2019-01-21,2546.5300
2019-01-18,2542.9050
2019-01-17,2546.7450
2019-01-16,2551.9800
2019-01-15,2556.3350
2019-01-14,2562.0300
2019-01-11,2572.0700
2019-01-10,2584.1350
2019-01-09,2590.7300
2019-01-08,2595.1600
2019-01-07,2598.1550
2019-01-04,2603.0250
2019-01-03,2604.2500
2019-01-02,2605.3650
2019-01-01,2596.7450
2018-12-31,2578.9200
2018-12-28,2563.6050
2018-12-27,2549.4000
2018-12-26,2540.6650
2018-12-24,2526.8600
2018-12-21,2510.1350
2018-12-20,2498.8100
2018-12-19,2482.8000
2018-12-18,2472.4250
2018-12-17,2473.3200
2018-12-14,2476.2300
2018-12-13,2480.2700
2018-12-12,2481.8800
2018-12-11,2473.5550
2018-12-10,2473.5450
2018-12-07,2473.0400
2018-12-06,2462.0550
2018-12-05,2461.9000
2018-12-04,2450.4650
2018-12-03,2432.6050
2018-11-30,2421.6150
2018-11-29,2402.7150
2018-11-28,2381.4150
2018-11-27,2368.7950
2018-11-26,2353.6500
2018-11-22,2351.9700
2018-11-21,2349.0550
2018-11-20,2339.8700
2018-11-19,2337.7650
2018-11-16,2340.0300
2018-11-15,2342.1100
2018-11-14,2345.6400
2018-11-13,2352.2000
2018-11-12,2361.8500
2018-11-09,2367.6700
2018-11-07,2363.3550
2018-11-06,2359.7050
2018-11-05,2334.3000
2018-11-02,2310.1500
2018-11-01,2285.8950
2018-10-31,2259.2550
2018-10-30,2252.5400
2018-10-29,2247.3850
2018-10-26,2238.1850
2018-10-25,2220.7550
2018-10-24,2214.0850
2018-10-23,2189.0050
2018-10-22,2177.9900
2018-10-19,2169.9550
2018-10-17,2173.3850
2018-10-16,2181.2150
2018-10-15,2171.3250
2018-10-12,2157.3900
2018-10-11,2148.8450
2018-10-10,2164.1300
2018-10-09,2167.7400
2018-10-08,2187.4950
2018-10-05,2228.5750
2018-10-04,2274.6650
2018-10-03,2314.1850
2018-10-01,2351.7950
2018-09-28,2397.8150
2018-09-27,2440.4500
2018-09-26,2480.1850
2018-09-25,2510.2100
2018-09-24,2554.0000
2018-09-21,2596.3250
2018-09-19,2629.8050
2018-09-18,2655.0000
2018-09-17,2670.7250
2018-09-14,2696.0450
2018-09-12,2722.2650
2018-09-11,2761.2950
2018-09-10,2794.6450
2018-09-07,2828.1900
2018-09-06,2845.4550
2018-09-05,2866.4700
2018-09-04,2881.6700
2018-09-03,2890.4750
2018-08-31,2903.0100
2018-08-30,2902.7950
2018-08-29,2892.5600
2018-08-28,2870.2950
2018-08-27,2857.4850
2018-08-24,2845.0950
2018-08-23,2834.9200
2018-08-21,2820.2950
2018-08-20,2802.4200
2018-08-17,2786.5250
2018-08-16,2769.5750
2018-08-14,2756.1300
2018-08-13,2743.1150
2018-08-10,2734.8400
2018-08-09,2725.0000
2018-08-08,2710.5200
2018-08-07,2699.7200
2018-08-06,2696.3600
2018-08-03,2703.0700
2018-08-02,2707.2150
2018-08-01,2690.6400
2018-07-31,2667.1900
2018-07-30,2644.5400
2018-07-27,2624.0100
2018-07-26,2599.2050
2018-07-25,2572.2800
2018-07-24,2537.5050
2018-07-23,2502.8450
2018-07-20,2461.5301
2018-07-19,2423.5500
2018-07-18,2404.7350
2018-07-17,2389.1250
2018-07-16,2374.0700
2018-07-13,2356.5750
2018-07-12,2340.2350
2018-07-11,2325.9900
2018-07-10,2323.8450
2018-07-09,2323.8750
2018-07-06,2328.1300
2018-07-05,2327.4700
2018-07-04,2320.2400
2018-07-03,2313.5800
2018-07-02,2308.4200
2018-06-29,2303.0950
2018-06-28,2301.7200
2018-06-27,2298.3600
2018-06-26,2288.2750
2018-06-25,2277.2800
2018-06-22,2262.8500
2018-06-21,2249.8450
2018-06-20,2241.2100
2018-06-19,2230.1750
2018-06-18,2213.2550
2018-06-15,2194.6250
2018-06-14,2173.8750
2018-06-13,2160.8600
2018-06-12,2149.1050
2018-06-11,2131.1600
2018-06-08,2116.0900
2018-06-07,2107.0200
2018-06-06,2099.2050
2018-06-05,2091.5200
2018-06-04,2096.0400
2018-06-01,2100.6600
2018-05-31,2107.4600
2018-05-30,2103.3750
2018-05-29,2083.7050
2018-05-28,2066.0900
2018-05-25,2042.7550
2018-05-24,2017.1700
2018-05-23,1991.2200
2018-05-22,1968.4600
2018-05-21,1940.8700
2018-05-18,1919.7450
2018-05-17,1891.2700
2018-05-16,1872.1650
2018-05-15,1870.9400
2018-05-14,1871.4400
2018-05-11,1875.8250
2018-05-10,1879.7000
2018-05-09,1886.2500
2018-05-08,1892.9400
2018-05-07,1895.3000
2018-05-04,1893.9250
2018-05-03,1899.7100
2018-05-02,1904.7450
2018-04-30,1907.5350
2018-04-27,1911.0650
2018-04-26,1912.4350
2018-04-25,1915.4300
2018-04-24,1918.0550
2018-04-23,1918.5400
2018-04-20,1923.3600
2018-04-19,1928.6550
2018-04-18,1928.3950
2018-04-17,1920.3100
2018-04-16,1910.0800
2018-04-13,1897.7850
2018-04-12,1882.9250
2018-04-11,1867.3150
2018-04-10,1848.9050
2018-04-09,1824.6600
2018-04-06,1799.9500
2018-04-05,1776.8850
2018-04-04,1750.9600
2018-04-03,1730.1550
2018-04-02,1715.9700
2018-03-28,1706.7100
2018-03-27,1700.4500
2018-03-26,1691.1800
2018-03-23,1683.8000
2018-03-22,1681.0000
2018-03-21,1673.9950
2018-03-20,1665.7850
2018-03-19,1664.0500
2018-03-16,1664.1700
2018-03-15,1660.9300
2018-03-14,1652.5600
2018-03-13,1647.5350
2018-03-12,1646.7550
2018-03-09,1643.0800
2018-03-08,1637.9100
2018-03-07,1635.3050
2018-03-06,1636.6600
2018-03-05,1637.0500
2018-03-01,1640.4500
2018-02-28,1642.4300
2018-02-27,1645.2150
2018-02-26,1643.8400
2018-02-23,1640.7350
2018-02-22,1643.5550
2018-02-21,1647.6700
2018-02-20,1653.8700
2018-02-19,1650.9150
2018-02-16,1649.6900
2018-02-15,1655.5550
2018-02-14,1655.5500
2018-02-12,1656.5350
2018-02-09,1663.6600
