time,VWAP
2020-06-05 05:55,2350.8856
2020-06-05 05:50,2350.0115
2020-06-05 05:45,2348.1946
2020-06-05 05:40,2347.3671
2020-06-05 05:35,2345.8549
2020-06-05 05:30,2345.4840
2020-06-05 05:25,2345.1215
2020-06-05 05:20,2344.8932
2020-06-05 05:15,2344.4314
2020-06-05 05:10,2344.2430
2020-06-05 05:05,2343.8602
2020-06-05 05:00,2343.6929
2020-06-05 04:55,2343.2328
2020-06-05 04:50,2342.7385
2020-06-05 04:45,2341.7580
2020-06-05 04:40,2340.1348
2020-06-05 04:35,2339.4931
2020-06-05 04:30,2339.2520
2020-06-05 04:25,2338.7234
2020-06-05 04:20,2338.0328
2020-06-05 04:15,2337.6820
2020-06-05 04:10,2336.9978
2020-06-05 04:05,2335.9782
2020-06-05 04:00,2332.9910
2020-06-05 03:55,2330.6209
2020-06-05 03:50,2329.7756
2020-06-05 03:45,2329.4530
2020-06-05 03:40,2329.0388
2020-06-05 03:35,2328.7791
2020-06-05 03:30,2328.5612
2020-06-05 03:25,2328.2342
2020-06-05 03:20,2327.8718
2020-06-05 03:15,2327.4920
2020-06-05 03:10,2327.0422
2020-06-05 03:05,2325.5173
2020-06-05 03:00,2325.0026
2020-06-05 02:55,2323.5967
2020-06-05 02:50,2320.9962
2020-06-05 02:45,2316.4913
2020-06-05 02:40,2315.3366
2020-06-05 02:35,2314.8142
2020-06-05 02:30,2312.4259
2020-06-05 02:25,2312.0072
2020-06-05 02:20,2311.9770
2020-06-05 02:15,2311.8907
2020-06-05 02:10,2311.5178
2020-06-05 02:05,2311.5458
2020-06-05 02:00,2311.6303
2020-06-05 01:55,2311.6241
2020-06-05 01:50,2311.6572
2020-06-05 01:45,2311.6641
2020-06-05 01:40,2311.5805
2020-06-05 01:35,2311.7717
2020-06-05 01:30,2312.1397
2020-06-05 01:25,2312.4372
2020-06-05 01:20,2312.9918
2020-06-05 01:15,2313.4600
2020-06-05 01:10,2314.2221
2020-06-05 01:05,2314.8291
2020-06-05 01:00,2315.7879
2020-06-05 00:55,2318.4219
2020-06-05 00:50,2322.3742
2020-06-05 00:45,2324.0453
2020-06-05 00:40,2326.5397
2020-06-05 00:35,2327.2853
2020-06-05 00:30,2327.8183
2020-06-05 00:25,2328.0159
2020-06-05 00:20,2328.2724
2020-06-05 00:15,2336.2871
2020-06-05 00:10,2342.3550
2020-06-05 00:05,2350.7126
2020-06-05 00:00,2353.1667
2020-06-04 23:55,2330.5261
2020-06-04 23:50,2330.3934
2020-06-04 23:45,2330.1785
2020-06-04 05:55,2329.5102
2020-06-04 05:50,2329.6936
2020-06-04 05:45,2329.9917
2020-06-04 05:40,2330.2462
2020-06-04 05:35,2330.5231
2020-06-04 05:30,2330.6805
2020-06-04 05:25,2330.9748
2020-06-04 05:20,2331.1716
2020-06-04 05:15,2331.4796
2020-06-04 05:10,2331.5988
2020-06-04 05:05,2331.7560
2020-06-04 05:00,2331.8440
2020-06-04 04:55,2331.9942
2020-06-04 04:50,2332.1145
2020-06-04 04:45,2332.3500
2020-06-04 04:40,2332.7170
2020-06-04 04:35,2333.1915
2020-06-04 04:30,2333.2394
2020-06-04 04:25,2333.2739
2020-06-04 04:20,2333.4315
2020-06-04 04:15,2333.7124
2020-06-04 04:10,2333.6669
2020-06-04 04:05,2333.5314
2020-06-04 04:00,2333.6915
2020-06-04 03:55,2334.4492
2020-06-04 03:50,2335.5549
2020-06-04 03:45,2335.9769
2020-06-04 03:40,2336.2965
2020-06-04 03:35,2337.1269
2020-06-04 03:30,2337.4471
2020-06-04 03:25,2337.9815
2020-06-04 03:20,2338.3566
2020-06-04 03:15,2338.7155
2020-06-04 03:10,2339.1055
2020-06-04 03:05,2340.1376
2020-06-04 03:00,2342.0514
2020-06-04 02:55,2344.6388
2020-06-04 02:50,2350.0563
