time,VWAP
2020-04-09 03:55,818.8823
2020-04-09 03:50,818.9198
2020-04-09 03:45,818.9317
2020-04-09 03:40,818.9535
2020-04-09 03:35,818.8876
2020-04-09 03:30,818.7832
2020-04-09 03:25,818.7944
2020-04-09 03:20,818.8188
2020-04-09 03:15,818.8560
2020-04-09 03:10,818.8815
2020-04-09 03:05,818.9719
2020-04-09 03:00,818.9502
2020-04-09 02:55,818.8200
2020-04-09 02:50,818.8326
2020-04-09 02:45,818.9026
2020-04-09 02:40,818.9512
2020-04-09 02:35,818.9700
2020-04-09 02:30,819.0630
2020-04-09 02:25,819.2138
2020-04-09 02:20,819.2771
2020-04-09 02:15,819.4143
2020-04-09 02:10,819.4764
2020-04-09 02:05,819.6121
2020-04-09 02:00,819.7009
2020-04-09 01:55,819.9775
2020-04-09 01:50,820.1342
2020-04-09 01:45,820.5302
2020-04-09 01:40,820.6367
2020-04-09 01:35,820.8600
2020-04-09 01:30,821.2494
2020-04-09 01:25,821.4773
2020-04-09 01:20,821.6442
2020-04-09 01:15,821.8483
2020-04-09 01:10,822.1863
2020-04-09 01:05,822.2224
2020-04-09 01:00,822.2867
2020-04-09 00:55,822.3365
2020-04-09 00:50,822.4295
2020-04-09 00:45,822.5435
2020-04-09 00:40,822.7628
2020-04-09 00:35,822.9487
2020-04-09 00:30,823.5550
2020-04-09 00:25,823.7382
2020-04-09 00:20,823.9443
2020-04-09 00:15,825.1465
2020-04-09 00:10,825.2190
2020-04-09 00:05,825.6558
2020-04-09 00:00,825.2267
2020-04-08 23:55,813.8954
2020-04-08 23:50,813.7341
2020-04-08 23:45,813.5249
2020-04-08 05:55,813.2314
2020-04-08 05:50,813.2868
2020-04-08 05:45,813.3207
2020-04-08 05:40,813.3681
2020-04-08 05:35,813.4457
2020-04-08 05:30,813.4836
2020-04-08 05:25,813.5228
2020-04-08 05:20,813.5966
2020-04-08 05:15,813.6284
2020-04-08 05:10,813.7319
2020-04-08 05:05,813.7685
2020-04-08 05:00,813.7954
2020-04-08 04:55,813.8143
2020-04-08 04:50,813.8359
2020-04-08 04:45,813.9296
2020-04-08 04:40,814.0572
2020-04-08 04:35,814.0933
2020-04-08 04:30,814.1913
2020-04-08 04:25,814.2702
2020-04-08 04:20,814.3656
2020-04-08 04:15,814.7569
2020-04-08 04:10,814.8915
2020-04-08 04:05,815.0236
2020-04-08 04:00,815.0644
2020-04-08 03:55,815.1096
2020-04-08 03:50,815.1355
2020-04-08 03:45,815.1898
2020-04-08 03:40,815.2017
2020-04-08 03:35,815.2436
2020-04-08 03:30,815.3214
2020-04-08 03:25,815.4421
2020-04-08 03:20,815.7542
2020-04-08 03:15,815.8961
2020-04-08 03:10,816.3209
2020-04-08 03:05,816.4619
2020-04-08 03:00,816.6369
2020-04-08 02:55,816.7156
2020-04-08 02:50,816.7979
2020-04-08 02:45,816.8623
2020-04-08 02:40,816.9593
2020-04-08 02:35,817.0390
2020-04-08 02:30,817.6196
2020-04-08 02:25,817.6472
2020-04-08 02:20,817.7675
2020-04-08 02:15,817.8745
2020-04-08 02:10,818.2457
2020-04-08 02:05,818.4240
2020-04-08 02:00,818.5214
2020-04-08 01:55,818.5181
2020-04-08 01:50,818.5049
2020-04-08 01:45,818.4480
2020-04-08 01:40,818.4651
2020-04-08 01:35,818.4888
2020-04-08 01:30,818.5840
2020-04-08 01:25,818.5896
2020-04-08 01:20,818.5938
2020-04-08 01:15,818.5656
2020-04-08 01:10,818.4812
2020-04-08 01:05,818.6035
2020-04-08 01:00,818.7758
2020-04-08 00:55,818.8829
2020-04-08 00:50,819.5620
2020-04-08 00:45,819.9043
2020-04-08 00:40,820.2309
2020-04-08 00:35,820.7995
2020-04-08 00:30,820.9756
2020-04-08 00:25,821.0680
2020-04-08 00:20,821.1615
2020-04-08 00:15,821.4504
2020-04-08 00:10,821.6670
2020-04-08 00:05,822.3790
2020-04-08 00:00,823.9000
2020-04-07 23:55,805.1790
2020-04-07 23:50,804.6089
2020-04-07 23:45,804.3302
2020-04-07 05:55,803.9134
2020-04-07 05:50,803.9478
2020-04-07 05:45,803.9891
2020-04-07 05:40,804.0593
2020-04-07 05:35,804.1448
2020-04-07 05:30,804.1514
2020-04-07 05:25,804.1604
2020-04-07 05:20,804.1893
2020-04-07 05:15,804.2037
2020-04-07 05:10,804.2290
2020-04-07 05:05,804.3270
2020-04-07 05:00,804.4002
2020-04-07 04:55,804.3825
2020-04-07 04:50,804.3684
2020-04-07 04:45,804.3289
2020-04-07 04:40,804.3067
2020-04-07 04:35,804.2738
2020-04-07 04:30,804.1858
2020-04-07 04:25,804.0996
2020-04-07 04:20,804.0260
2020-04-07 04:15,803.9150
2020-04-07 04:10,803.8247
2020-04-07 04:05,803.6736
2020-04-07 04:00,803.5919
2020-04-07 03:55,803.5101
2020-04-07 03:50,803.4964
2020-04-07 03:45,803.4791
2020-04-07 03:40,803.4661
2020-04-07 03:35,803.4199
2020-04-07 03:30,803.3594
2020-04-07 03:25,803.3690
2020-04-07 03:20,803.2597
2020-04-07 03:15,803.2202
2020-04-07 03:10,803.1747
2020-04-07 03:05,803.0718
2020-04-07 03:00,802.9448
2020-04-07 02:55,802.7232
2020-04-07 02:50,802.6486
2020-04-07 02:45,802.6210
2020-04-07 02:40,802.5619
2020-04-07 02:35,802.5253
2020-04-07 02:30,802.4805
2020-04-07 02:25,802.2369
2020-04-07 02:20,802.0436
2020-04-07 02:15,801.9925
2020-04-07 02:10,801.7971
2020-04-07 02:05,801.7464
2020-04-07 02:00,801.6317
2020-04-07 01:55,801.4720
2020-04-07 01:50,801.2959
2020-04-07 01:45,801.0692
2020-04-07 01:40,800.9343
2020-04-07 01:35,800.8711
2020-04-07 01:30,800.6633
2020-04-07 01:25,800.6555
2020-04-07 01:20,800.6598
2020-04-07 01:15,800.7157
2020-04-07 01:10,800.7587
2020-04-07 01:05,800.7900
2020-04-07 01:00,800.9281
2020-04-07 00:55,801.2269
2020-04-07 00:50,801.4034
2020-04-07 00:45,801.8102
2020-04-07 00:40,802.1973
2020-04-07 00:35,802.7274
2020-04-07 00:30,803.8779
2020-04-07 00:25,805.0010
2020-04-07 00:20,805.1708
2020-04-07 00:15,805.7193
2020-04-07 00:10,804.9017
2020-04-07 00:05,803.2600
2020-04-07 00:00,801.8500
2020-04-06 23:55,805.4078
2020-04-06 23:50,805.9932
2020-04-06 23:45,806.1667
2020-04-03 05:55,773.2046
2020-04-03 05:50,773.1027
2020-04-03 05:45,772.3991
2020-04-03 05:40,772.3745
2020-04-03 05:35,772.4786
2020-04-03 05:30,772.6201
2020-04-03 05:25,772.7666
2020-04-03 05:20,772.9543
2020-04-03 05:15,773.0007
2020-04-03 05:10,773.0704
2020-04-03 05:05,773.1202
2020-04-03 05:00,773.1994
2020-04-03 04:55,773.2999
2020-04-03 04:50,773.4266
2020-04-03 04:45,773.7690
2020-04-03 04:40,774.0491
2020-04-03 04:35,774.1927
2020-04-03 04:30,774.2327
2020-04-03 04:25,774.2701
2020-04-03 04:20,774.3548
2020-04-03 04:15,774.0451
2020-04-03 04:10,773.6321
2020-04-03 04:05,773.4380
2020-04-03 04:00,773.5161
2020-04-03 03:55,773.6203
2020-04-03 03:50,773.7162
2020-04-03 03:45,773.7853
2020-04-03 03:40,773.8550
2020-04-03 03:35,773.9142
2020-04-03 03:30,773.9577
2020-04-03 03:25,774.0466
2020-04-03 03:20,774.0953
2020-04-03 03:15,774.2287
2020-04-03 03:10,774.4858
2020-04-03 03:05,774.5368
2020-04-03 03:00,774.5562
2020-04-03 02:55,774.5854
2020-04-03 02:50,774.6256
2020-04-03 02:45,774.6337
2020-04-03 02:40,774.6432
2020-04-03 02:35,774.6822
2020-04-03 02:30,774.7013
2020-04-03 02:25,774.7734
2020-04-03 02:20,774.8341
2020-04-03 02:15,774.9087
2020-04-03 02:10,774.9627
2020-04-03 02:05,775.0157
2020-04-03 02:00,775.0473
