time,RSI
2019-06-21,59.5576
2019-06-20,62.4048
2019-06-19,56.1607
2019-06-18,56.0855
2019-06-17,55.2970
2019-06-14,60.5288
2019-06-13,59.0390
2019-06-12,58.0843
2019-06-11,60.7758
2019-06-10,62.0985
2019-06-07,60.0093
2019-06-06,60.5531
2019-06-04,70.5514
2019-06-03,69.5976
2019-05-31,69.4791
2019-05-30,69.5363
2019-05-29,69.0645
2019-05-28,72.9647
2019-05-27,76.6308
2019-05-24,73.3441
2019-05-23,67.2745
2019-05-22,65.6162
2019-05-21,64.2118
2019-05-20,64.7920
2019-05-17,51.8683
2019-05-16,46.6514
2019-05-15,44.1197
2019-05-14,47.1332
2019-05-13,41.1888
2019-05-10,49.4619
2019-05-09,49.8242
2019-05-08,50.9239
2019-05-07,52.2508
2019-05-06,48.6597
2019-05-03,50.9651
2019-05-02,50.4966
2019-04-30,47.9138
2019-04-26,49.6155
2019-04-25,49.5826
2019-04-24,50.6303
2019-04-23,48.0657
2019-04-22,50.2427
2019-04-18,50.6260
2019-04-16,55.2052
2019-04-15,50.3721
2019-04-12,51.0514
2019-04-11,54.7209
2019-04-10,53.2043
2019-04-09,54.2797
2019-04-08,53.9132
2019-04-05,54.0739
2019-04-04,53.3137
2019-04-03,55.3869
2019-04-02,61.5778
2019-04-01,62.1872
2019-03-28,58.1212
2019-03-27,55.5214
2019-03-26,56.4016
2019-03-25,57.4274
2019-03-22,60.8931
2019-03-20,57.8509
2019-03-19,55.3384
2019-03-18,60.0026
2019-03-15,64.3134
2019-03-14,61.7675
2019-03-13,61.6811
2019-03-12,64.0631
2019-03-11,57.9087
2019-03-08,56.3140
2019-03-07,59.2731
2019-03-06,52.6171
2019-03-05,50.8731
2019-03-01,51.3054
2019-02-28,48.3559
2019-02-27,45.8106
2019-02-26,41.3402
2019-02-25,43.6608
2019-02-22,44.1315
2019-02-21,44.6334
2019-02-20,43.0625
2019-02-19,38.5821
2019-02-18,34.6701
2019-02-15,35.0810
2019-02-14,30.9203
2019-02-12,33.1122
2019-02-11,33.2792
2019-02-08,35.3988
2019-02-07,41.2241
2019-02-06,43.2741
2019-02-05,41.7301
2019-02-04,42.0759
2019-02-01,45.0793
2019-01-31,42.5651
2019-01-30,38.2234
2019-01-29,33.6987
2019-01-28,37.0649
2019-01-25,32.8043
2019-01-24,34.4358
2019-01-23,35.0960
2019-01-22,35.0423
2019-01-21,36.9934
2019-01-18,37.5944
2019-01-17,42.0673
2019-01-16,41.2099
2019-01-15,40.8635
2019-01-14,39.2654
2019-01-11,45.2271
2019-01-10,49.1541
2019-01-09,48.0753
2019-01-08,47.3823
2019-01-07,47.7584
2019-01-04,48.7174
2019-01-03,49.5387
2019-01-02,55.7719
2019-01-01,59.1145
2018-12-31,58.6156
2018-12-28,58.7308
2018-12-27,56.3994
2018-12-26,56.2802
2018-12-24,53.6551
2018-12-21,56.4896
2018-12-20,62.3616
2018-12-19,60.3852
2018-12-18,59.5178
2018-12-17,56.6385
2018-12-14,57.2395
2018-12-13,59.8879
2018-12-12,56.3926
2018-12-11,50.5026
2018-12-10,50.8227
2018-12-07,57.1114
2018-12-06,53.9207
2018-12-05,57.3733
2018-12-04,63.1142
2018-12-03,64.4154
2018-11-30,65.6508
2018-11-29,64.6991
2018-11-28,62.1134
2018-11-27,69.2664
2018-11-26,67.9860
2018-11-22,66.4293
2018-11-21,65.5162
2018-11-20,68.1378
2018-11-19,68.9994
2018-11-16,66.5982
2018-11-15,66.9298
2018-11-14,65.3006
2018-11-13,66.9851
2018-11-12,64.0284
2018-11-09,63.9903
2018-11-07,63.9601
2018-11-06,62.9693
2018-11-05,62.1453
2018-11-02,63.3212
2018-11-01,60.5044
2018-10-31,55.9689
2018-10-30,51.8771
2018-10-29,50.1223
2018-10-26,37.3808
2018-10-25,38.0942
2018-10-24,40.5257
2018-10-23,35.3873
2018-10-22,36.6299
2018-10-19,36.8631
2018-10-17,37.2868
2018-10-16,39.0906
2018-10-15,37.4672
2018-10-12,39.9263
2018-10-11,38.0486
2018-10-10,41.7539
2018-10-09,34.5789
2018-10-08,33.2304
2018-10-05,34.9308
2018-10-04,39.2087
2018-10-03,35.5140
2018-10-01,35.9374
2018-09-28,38.7465
2018-09-27,46.2608
2018-09-26,51.7169
2018-09-25,48.3866
2018-09-24,48.2765
2018-09-21,51.3651
2018-09-19,51.4823
2018-09-18,50.7240
2018-09-17,54.2526
2018-09-14,57.8547
2018-09-12,56.3415
2018-09-11,52.0886
2018-09-10,54.4204
2018-09-07,56.6948
2018-09-06,56.2869
2018-09-05,56.6880
2018-09-04,59.3335
2018-09-03,60.4828
2018-08-31,61.6166
2018-08-30,58.6148
2018-08-29,59.0298
2018-08-28,59.9895
2018-08-27,60.0633
2018-08-24,58.2002
2018-08-23,60.1367
2018-08-21,55.7614
2018-08-20,56.1084
2018-08-17,39.4839
2018-08-16,37.5081
2018-08-14,41.0696
2018-08-13,43.9747
2018-08-10,43.0465
2018-08-09,47.4339
2018-08-08,50.0072
2018-08-07,49.5280
2018-08-06,48.5350
2018-08-03,48.5656
2018-08-02,46.5266
2018-08-01,49.6286
2018-07-31,50.6301
2018-07-30,49.2948
2018-07-27,52.3827
2018-07-26,51.3906
2018-07-25,54.1977
2018-07-24,54.7046
2018-07-23,46.5223
2018-07-20,44.2672
2018-07-19,41.0569
