time,SMA
2020-03-27,1169.9950
2020-03-20,1216.7600
2020-03-13,1262.6900
2020-03-06,1290.9200
2020-02-28,1304.9900
2020-02-20,1317.9150
2020-02-14,1320.3500
2020-02-07,1319.8900
2020-01-31,1323.0650
2020-01-24,1324.0100
2020-01-17,1325.7800
2020-01-10,1337.6300
2020-01-03,1350.4450
2019-12-27,1361.7350
2019-12-20,1374.5150
2019-12-13,1385.7050
2019-12-06,1402.5000
2019-11-29,1414.7550
2019-11-22,1418.0400
2019-11-15,1413.0250
2019-11-08,1408.0850
2019-11-01,1394.4800
2019-10-18,1382.7450
2019-10-11,1374.4100
2019-10-04,1368.6650
2019-09-27,1365.4350
2019-09-20,1359.2850
2019-09-13,1364.7300
2019-09-06,1384.0950
2019-08-30,1406.5600
2019-08-23,1427.7500
2019-08-16,1451.9650
2019-08-09,1469.8050
2019-08-02,1489.1300
2019-07-26,1506.4950
2019-07-19,1503.5000
2019-07-12,1497.8600
2019-07-05,1487.2300
2019-06-28,1467.0700
2019-06-21,1447.8400
2019-06-14,1429.9450
2019-06-07,1414.3850
2019-05-31,1401.4650
2019-05-24,1385.0700
2019-05-17,1370.4400
2019-05-10,1368.0850
2019-05-03,1363.4250
2019-04-26,1355.2700
2019-04-18,1344.0450
2019-04-12,1334.1900
2019-04-05,1330.5450
2019-03-28,1321.7450
2019-03-22,1315.1650
2019-03-15,1312.7850
2019-03-08,1311.9800
2019-03-01,1322.0500
2019-02-22,1333.2250
2019-02-15,1346.4350
2019-02-08,1361.9550
2019-02-01,1378.7000
2019-01-25,1387.1750
2019-01-18,1398.2200
2019-01-11,1403.0650
2019-01-04,1401.7650
2018-12-28,1382.6300
2018-12-21,1359.5400
2018-12-14,1340.9950
2018-12-07,1322.7700
2018-11-30,1309.5900
2018-11-22,1299.8000
2018-11-16,1294.7550
2018-11-09,1290.0300
2018-11-02,1290.2700
2018-10-26,1288.8300
2018-10-19,1293.0650
2018-10-12,1298.7400
2018-10-05,1304.3800
2018-09-28,1312.5900
2018-09-21,1312.8600
2018-09-14,1309.0950
2018-09-07,1299.8700
2018-08-31,1292.1250
2018-08-24,1284.7650
2018-08-17,1283.3550
2018-08-10,1293.6850
2018-08-03,1304.3250
2018-07-27,1309.5700
2018-07-20,1310.0350
2018-07-13,1321.8050
2018-07-06,1329.4200
2018-06-29,1340.4350
2018-06-22,1349.6750
2018-06-15,1355.6550
2018-06-08,1353.8950
2018-06-01,1350.7250
2018-05-25,1340.3700
2018-05-18,1332.7500
2018-05-11,1330.1600
2018-05-04,1322.7750
2018-04-27,1315.9850
2018-04-20,1311.1000
2018-04-13,1307.6650
2018-04-06,1313.5750
2018-03-28,1323.7600
2018-03-23,1329.7650
2018-03-16,1335.9100
2018-03-09,1340.6000
2018-03-01,1337.2800
2018-02-23,1332.6250
2018-02-16,1322.7200
2018-02-09,1311.8550
2018-02-02,1300.1800
2018-01-25,1280.3700
2018-01-19,1261.2000
2018-01-12,1250.4100
2018-01-05,1240.9900
2017-12-29,1231.8900
2017-12-22,1220.2950
2017-12-15,1207.4800
2017-12-08,1201.3950
2017-12-01,1193.5850
2017-11-24,1190.8150
2017-11-17,1190.4300
2017-11-10,1185.5350
2017-11-03,1173.1000
2017-10-27,1162.7300
2017-10-19,1153.4800
2017-10-13,1152.6600
2017-10-06,1156.4800
2017-09-29,1158.1450
2017-09-22,1161.9400
2017-09-15,1160.6600
2017-09-08,1153.1250
2017-09-01,1148.4150
2017-08-24,1149.3150
2017-08-18,1151.3020
2017-08-11,1156.6490
2017-08-04,1162.3160
2017-07-28,1163.7960
2017-07-21,1162.8260
2017-07-14,1160.8780
2017-07-07,1158.6580
2017-06-30,1161.4850
2017-06-23,1161.4750
2017-06-16,1158.4720
2017-06-09,1155.7880
