time,SlowD,SlowK
2019-08-07,45.7794,49.5227
2019-08-06,45.3237,50.9943
2019-08-05,41.5070,36.8214
2019-08-02,40.9591,48.1553
2019-08-01,35.3253,39.5442
2019-07-31,30.2403,35.1780
2019-07-30,26.4693,31.2538
2019-07-29,21.5436,24.2891
2019-07-26,19.6829,23.8650
2019-07-25,17.6668,16.4766
2019-07-24,16.0421,18.7072
2019-07-23,16.0086,17.8165
2019-07-22,18.5449,11.6025
2019-07-19,22.9471,18.6067
2019-07-18,22.0108,25.4256
2019-07-17,17.6534,24.8091
2019-07-16,15.6484,15.7976
2019-07-15,21.4191,12.3534
2019-07-12,27.9165,18.7942
2019-07-11,31.9652,33.1095
2019-07-10,32.0673,31.8457
2019-07-09,39.9553,30.9404
2019-07-08,54.0916,33.4159
2019-07-05,68.7421,55.5097
2019-07-04,73.2163,73.3493
2019-07-03,69.7456,77.3672
2019-07-02,65.0412,68.9325
2019-07-01,62.2113,62.9371
2019-06-28,61.5164,63.2540
2019-06-27,59.6763,60.4428
2019-06-26,63.0489,60.8524
2019-06-25,62.0709,57.7337
2019-06-24,57.9207,70.5605
2019-06-21,40.2674,57.9186
2019-06-20,31.8145,45.2829
2019-06-19,30.4506,17.6006
2019-06-18,39.5061,32.5601
2019-06-17,39.7014,41.1911
2019-06-14,36.3258,44.7670
2019-06-13,31.9509,33.1461
2019-06-12,28.4514,31.0642
2019-06-11,27.2107,31.6425
2019-06-10,27.0169,22.6474
2019-06-07,32.8724,27.3421
2019-06-06,37.4484,31.0612
2019-06-04,44.0952,40.2139
2019-06-03,52.8492,41.0702
2019-05-31,65.7329,51.0016
2019-05-30,78.4641,66.4759
2019-05-29,84.1135,79.7212
2019-05-28,84.7337,89.1952
2019-05-27,82.3241,83.4240
2019-05-24,85.7255,81.5818
2019-05-23,89.4185,81.9665
2019-05-22,90.1539,93.6283
2019-05-21,81.6309,92.6608
2019-05-20,70.8836,84.1725
2019-05-17,56.9423,68.0593
2019-05-16,48.0049,60.4190
2019-05-15,39.7955,42.3485
2019-05-14,42.5437,41.2471
2019-05-13,48.6598,35.7909
2019-05-10,54.4315,50.5931
2019-05-09,54.7687,59.5952
2019-05-08,49.1105,53.1061
2019-05-07,44.8642,51.6048
2019-05-06,40.0680,42.6208
2019-05-03,37.1809,40.3671
2019-05-02,37.2066,37.2161
2019-04-30,35.9025,33.9594
2019-04-26,33.2703,40.4444
2019-04-25,25.4600,33.3038
2019-04-24,26.4020,26.0627
2019-04-23,29.1412,17.0135
2019-04-22,34.6124,36.1296
2019-04-18,30.1647,34.2806
2019-04-16,27.1667,33.4271
2019-04-15,24.9310,22.7865
2019-04-12,22.3992,25.2867
2019-04-11,18.5705,26.7199
2019-04-10,12.9765,15.1910
2019-04-09,12.9300,13.8007
2019-04-08,20.0793,9.9379
2019-04-05,36.9429,15.0514
2019-04-04,53.6702,35.2486
2019-04-03,56.9127,60.5287
2019-04-02,46.5989,65.2332
2019-04-01,35.0655,44.9761
2019-03-28,36.5660,29.5874
2019-03-27,43.5584,30.6330
2019-03-26,46.8949,49.4776
2019-03-25,41.3440,50.5645
2019-03-22,40.3107,40.6427
2019-03-20,48.2435,32.8249
2019-03-19,61.9643,47.4645
2019-03-18,71.0803,64.4410
2019-03-15,76.3737,73.9875
2019-03-14,78.1313,74.8124
2019-03-13,80.4243,80.3211
2019-03-12,80.7583,79.2605
2019-03-11,83.6599,81.6914
2019-03-08,85.8696,81.3231
2019-03-07,88.8849,87.9652
2019-03-06,87.5358,88.3205
2019-03-05,79.0242,90.3691
2019-03-01,68.3234,83.9178
2019-02-28,60.9934,62.7856
2019-02-27,67.1527,58.2668
2019-02-26,77.1363,61.9279
2019-02-25,85.7955,81.2634
2019-02-22,84.9861,88.2176
2019-02-21,76.1365,87.9053
2019-02-20,60.7022,78.8352
2019-02-19,44.1213,61.6689
2019-02-18,31.3204,41.6025
2019-02-15,23.3959,29.0925
2019-02-14,18.8859,23.2662
2019-02-12,18.5579,17.8289
2019-02-11,24.5300,15.5628
2019-02-08,35.9124,22.2820
2019-02-07,49.1243,35.7453
2019-02-06,60.0860,49.7098
2019-02-05,64.2024,61.9179
2019-02-04,56.8101,68.6303
2019-02-01,43.8913,62.0591
2019-01-31,30.7029,39.7409
2019-01-30,26.4550,29.8740
2019-01-29,25.2732,22.4939
2019-01-28,28.0007,26.9969
2019-01-25,31.2105,26.3289
2019-01-24,31.9328,30.6763
2019-01-23,30.7094,36.6262
2019-01-22,24.4103,28.4958
2019-01-21,21.5455,27.0061
2019-01-18,16.8072,17.7289
2019-01-17,15.1673,19.9014
2019-01-16,16.7803,12.7914
2019-01-15,23.0169,12.8091
2019-01-14,28.8800,24.7405
2019-01-11,26.5163,31.5011
2019-01-10,21.4097,30.3984
2019-01-09,15.7125,17.6494
2019-01-08,17.5028,16.1812
2019-01-07,27.2290,13.3070
2019-01-04,46.3705,23.0202
2019-01-03,65.6479,45.3597
2019-01-02,73.5210,70.7315
2019-01-01,69.4145,80.8525
2018-12-31,54.6042,68.9789
2018-12-28,42.4117,58.4121
2018-12-27,38.9109,36.4217
2018-12-26,52.0240,32.4013
2018-12-24,72.9092,47.9096
2018-12-21,86.2664,75.7610
2018-12-20,89.1242,95.0570
2018-12-19,85.4023,87.9812
2018-12-18,85.5339,84.3344
2018-12-17,81.0734,83.8911
2018-12-14,67.3781,88.3761
2018-12-13,46.6736,70.9531
2018-12-12,29.9883,42.8052
2018-12-11,22.6636,26.2626
2018-12-10,22.1480,20.8971
2018-12-07,29.3112,20.8312
2018-12-06,44.6621,24.7157
2018-12-05,60.5023,42.3866
2018-12-04,66.0585,66.8841
2018-12-03,64.4743,72.2362
2018-11-30,62.0957,59.0551
2018-11-29,67.9447,62.1315
2018-11-28,67.5497,65.1004
2018-11-27,66.4065,76.6022
2018-11-26,65.3320,60.9465
2018-11-22,71.8680,61.6709
2018-11-21,78.0217,73.3785
2018-11-20,77.2154,80.5545
2018-11-19,76.5088,80.1320
2018-11-16,73.9119,70.9597
2018-11-15,74.8680,78.4347
2018-11-14,71.4274,72.3413
2018-11-13,72.5604,73.8280
2018-11-12,73.8007,68.1129
2018-11-09,78.3174,75.7402
2018-11-07,79.4290,77.5488
2018-11-06,82.0624,81.6632
2018-11-05,84.0798,79.0751
2018-11-02,89.2796,85.4489
2018-11-01,85.8978,87.7153
2018-10-31,76.9841,94.6745
2018-10-30,62.1577,75.3036
2018-10-29,52.4269,60.9742
2018-10-26,46.1063,50.1952
2018-10-25,40.6446,46.1111
2018-10-24,34.7135,42.0124
2018-10-23,28.7779,33.8102
2018-10-22,22.7302,28.3181
2018-10-19,23.1081,24.2054
2018-10-17,25.8752,15.6670
2018-10-16,36.1436,29.4518
2018-10-15,38.4309,32.5066
2018-10-12,37.3786,46.4724
2018-10-11,26.9051,36.3138
2018-10-10,21.4614,29.3496
2018-10-09,19.2514,15.0517
2018-10-08,23.2739,19.9830
2018-10-05,23.9134,22.7194
2018-10-04,23.5856,27.1192
2018-10-03,25.6812,21.9016
2018-10-01,30.8120,21.7360
2018-09-28,36.6427,33.4060
2018-09-27,36.5078,37.2938
2018-09-26,34.5961,39.2284
2018-09-25,31.0308,33.0011
2018-09-24,30.9166,31.5588
2018-09-21,37.9448,28.5327
2018-09-19,53.1682,32.6583
2018-09-18,61.9301,52.6433
2018-09-17,55.4240,74.2028
2018-09-14,34.4917,58.9441
2018-09-12,19.3043,33.1250
2018-09-11,13.3240,11.4062
2018-09-10,16.0430,13.3819
2018-09-07,21.2981,15.1840
2018-09-06,33.5985,19.5630
2018-09-05,44.6847,29.1473
2018-09-04,55.3477,52.0851
2018-09-03,57.8937,52.8217
2018-08-31,66.2336,61.1362
2018-08-30,73.6796,59.7232
2018-08-29,83.0333,77.8415
2018-08-28,86.4645,83.4741
2018-08-27,89.0426,87.7842
2018-08-24,82.2699,88.1353
2018-08-23,66.5179,91.2083
2018-08-21,40.0299,67.4661
2018-08-20,22.4615,40.8793
2018-08-17,13.6938,11.7442
2018-08-16,15.4350,14.7609
2018-08-14,19.9161,14.5763
2018-08-13,29.4234,16.9679
2018-08-10,40.8855,28.2039
2018-08-09,44.7060,43.0984
2018-08-08,38.1483,51.3542
2018-08-07,26.8023,39.6654
2018-08-06,19.2864,23.4252
2018-08-03,19.0768,17.3162
2018-08-02,25.1884,17.1178
2018-08-01,34.4784,22.7963
2018-07-31,48.6142,35.6512
2018-07-30,62.7515,44.9878
2018-07-27,73.1330,65.2038
2018-07-26,71.1482,78.0631
2018-07-25,54.6970,76.1323
2018-07-24,37.6055,59.2493
2018-07-23,26.6630,28.7094
2018-07-20,27.6907,24.8578
2018-07-19,31.8316,26.4218
2018-07-18,41.6766,31.7924
2018-07-17,53.6839,37.2805
2018-07-16,66.1168,55.9569
2018-07-13,72.3668,67.8141
2018-07-12,75.8204,74.5794
2018-07-11,73.4633,74.7070
2018-07-10,69.0536,78.1747
2018-07-09,63.2070,67.5081
2018-07-06,63.3029,61.4781
2018-07-05,64.3090,60.6348
2018-07-04,61.7331,67.7957
2018-07-03,50.0113,64.4965
2018-07-02,33.6933,52.9072
2018-06-29,18.4993,32.6303
2018-06-28,12.3827,15.5425
2018-06-27,11.1301,7.3250
2018-06-26,13.3498,14.2806
2018-06-25,11.3717,11.7846
2018-06-22,10.0862,13.9842
2018-06-21,8.0098,8.3463
2018-06-20,10.9964,7.9281
2018-06-19,21.0883,7.7551
2018-06-18,40.3201,17.3059
2018-06-15,56.6223,38.2040
2018-06-14,61.4580,65.4504
2018-06-13,51.1049,66.2125
2018-06-12,39.6770,52.7111
2018-06-11,30.6854,34.3912
2018-06-08,24.4169,31.9288
2018-06-07,19.2036,25.7362
2018-06-06,19.3472,15.5855
2018-06-05,26.3694,16.2891
2018-06-04,36.0962,26.1672
2018-06-01,48.4847,36.6521
2018-05-31,62.4364,45.4693
2018-05-30,73.0808,63.3328
2018-05-29,70.4061,78.5072
2018-05-28,54.8127,77.4025
2018-05-25,33.6787,55.3087
2018-05-24,17.6346,31.7268
2018-05-23,10.5829,14.0007
2018-05-22,10.8985,7.1763
2018-05-21,17.5455,10.5718
2018-05-18,26.7047,14.9475
2018-05-17,41.5443,27.1173
2018-05-16,50.0262,38.0493
2018-05-15,52.3120,59.4663
2018-05-14,39.9000,52.5631
2018-05-11,32.0345,44.9065
2018-05-10,26.1763,22.2305
2018-05-09,32.3739,28.9665
2018-05-08,40.2396,27.3319
2018-05-07,55.8966,40.8234
2018-05-04,70.8918,52.5634
2018-05-03,77.0113,74.3029
2018-05-02,67.8616,85.8092
2018-04-30,53.0341,70.9218
2018-04-27,42.0147,46.8539
2018-04-26,41.6653,41.3267
2018-04-25,45.5262,37.8636
2018-04-24,54.3102,45.8055
2018-04-23,61.4459,52.9094
2018-04-20,65.8598,64.2158
2018-04-19,69.5570,67.2124
2018-04-18,76.8157,66.1513
2018-04-17,84.0909,75.3072
2018-04-16,89.1351,88.9885
2018-04-13,87.2627,87.9769
2018-04-12,80.7035,90.4400
2018-04-11,72.0365,83.3712
2018-04-10,58.5116,68.2991
2018-04-09,55.1752,64.4390
2018-04-06,55.1492,42.7966
2018-04-05,70.4111,58.2900
2018-04-04,79.3664,64.3610
2018-04-03,81.9241,88.5824
2018-04-02,68.2600,85.1559
2018-03-28,53.5336,72.0339
2018-03-27,47.1081,47.5900
2018-03-26,55.0011,40.9767
2018-03-23,62.1884,52.7575
2018-03-22,56.5140,71.2690
2018-03-21,41.4225,62.5386
2018-03-20,33.3358,35.7344
2018-03-19,40.3836,25.9946
2018-03-16,56.1537,38.2785
2018-03-15,65.9891,56.8776
2018-03-14,65.7362,73.3051
2018-03-13,51.0873,67.7845
2018-03-12,33.3283,56.1190
2018-03-09,16.4872,29.3583
2018-03-08,12.9176,14.5077
2018-03-07,19.5762,5.5956
2018-03-06,37.2140,18.6494
2018-03-05,55.4969,34.4837
2018-03-01,67.9058,58.5090
2018-02-28,65.6133,73.4979
2018-02-27,48.8937,71.7106
2018-02-26,28.0389,51.6313
2018-02-23,13.0919,23.3391
2018-02-22,8.8968,9.1462
2018-02-21,15.3202,6.7903
2018-02-20,29.4121,10.7539
2018-02-19,48.2660,28.4165
2018-02-16,57.8947,49.0659
2018-02-15,56.0200,67.3156
2018-02-14,42.3980,57.3027
2018-02-12,32.3905,43.4417
2018-02-09,24.2325,26.4498
2018-02-08,20.9959,27.2801
